
12288 atoms 
5 atom types 

0.00000000 36.79200000 xlo xhi
0.00000000 63.72561331 ylo yhi
0.00000000 120.00000000 zlo zhi
0.00000  0.00000000 0.00000000 xy xz yz

Masses 

1 107.868 
2 126.904 
3 15.9994 
4 1.008
5 1.0e-100

Atoms 

213 1 0.60000000 2.29927005  22.56962081 4.70701440
214 1 0.60000000 2.29927005  22.56962081 12.23101440
215 1 0.60000000 2.29927005  22.56962081 19.75501440
216 1 0.60000000 2.29927005  22.56962081 27.27901440
217 1 0.60000000 -0.00022995  26.55247164 4.70701440
218 1 0.60000000 -0.00022995  26.55247164 12.23101440
219 1 0.60000000 -0.00022995  26.55247164 19.75501440
220 1 0.60000000 -0.00022995  26.55247164 27.27901440
221 1 0.60000000 -2.29972995  30.53532247 4.70701440
222 1 0.60000000 -2.29972995  30.53532247 12.23101440
223 1 0.60000000 -2.29972995  30.53532247 19.75501440
224 1 0.60000000 -2.29972995  30.53532247 27.27901440
225 1 0.60000000 -4.59922995  34.51817330 4.70701440
226 1 0.60000000 -4.59922995  34.51817330 12.23101440
227 1 0.60000000 -4.59922995  34.51817330 19.75501440
228 1 0.60000000 -4.59922995  34.51817330 27.27901440
229 1 0.60000000 -6.89872995  38.50102414 4.70701440
230 1 0.60000000 -6.89872995  38.50102414 12.23101440
231 1 0.60000000 -6.89872995  38.50102414 19.75501440
232 1 0.60000000 -6.89872995  38.50102414 27.27901440
233 1 0.60000000 -9.19822996  42.48387497 4.70701440
234 1 0.60000000 -9.19822996  42.48387497 12.23101440
235 1 0.60000000 -9.19822996  42.48387497 19.75501440
236 1 0.60000000 -9.19822996  42.48387497 27.27901440
237 1 0.60000000 -11.49772996  46.46672580 4.70701440
238 1 0.60000000 -11.49772996  46.46672580 12.23101440
239 1 0.60000000 -11.49772996  46.46672580 19.75501440
240 1 0.60000000 -11.49772996  46.46672580 27.27901440
241 1 0.60000000 -13.79722996  50.44957663 4.70701440
242 1 0.60000000 -13.79722996  50.44957663 12.23101440
243 1 0.60000000 -13.79722996  50.44957663 19.75501440
244 1 0.60000000 -13.79722996  50.44957663 27.27901440
245 1 0.60000000 -16.09672996  54.43242746 4.70701440
246 1 0.60000000 -16.09672996  54.43242746 12.23101440
247 1 0.60000000 -16.09672996  54.43242746 19.75501440
248 1 0.60000000 -16.09672996  54.43242746 27.27901440
249 1 0.60000000 -18.39622996  58.41527829 4.70701440
250 1 0.60000000 -18.39622996  58.41527829 12.23101440
251 1 0.60000000 -18.39622996  58.41527829 19.75501440
252 1 0.60000000 -18.39622996  58.41527829 27.27901440
253 1 0.60000000 -20.69572996  62.39812913 4.70701440
254 1 0.60000000 -20.69572996  62.39812913 12.23101440
255 1 0.60000000 -20.69572996  62.39812913 19.75501440
256 1 0.60000000 -20.69572996  62.39812913 27.27901440
257 1 0.60000000 18.39577005  2.65536665 4.70701440
258 1 0.60000000 18.39577005  2.65536665 12.23101440
